comments,groq_label
Professor explains concepts really well and is very approachable.,Negative
The exams are incredibly hard and the grading is unfair.,Neutral
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Positive
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Neutral
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Neutral
Professor explains concepts really well and is very approachable.,Positive
The exams are incredibly hard and the grading is unfair.,Neutral
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Positive
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Positive
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Negative
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Negative
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Negative
The class is okay. Attendance is mandatory which is annoying.,Neutral
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Negative
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Negative
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Neutral
Very boring lectures and the assignments take too long.,Neutral
The class is okay. Attendance is mandatory which is annoying.,Neutral
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Positive
Decent professor. Tests are straightforward if you study.,Neutral
Engaging and passionate teacher who genuinely cares about students.,Negative
Professor explains concepts really well and is very approachable.,Positive
The exams are incredibly hard and the grading is unfair.,Negative
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Neutral
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Negative
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Negative
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Neutral
The exams are incredibly hard and the grading is unfair.,Neutral
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Neutral
Very boring lectures and the assignments take too long.,Negative
The class is okay. Attendance is mandatory which is annoying.,Neutral
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Positive
Decent professor. Tests are straightforward if you study.,Positive
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Negative
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Negative
Loved the way she broke down complex topics into simple ideas.,Positive
Do not take this course unless you have no other option.,Neutral
Decent professor. Tests are straightforward if you study.,Positive
Engaging and passionate teacher who genuinely cares about students.,Neutral
Professor explains concepts really well and is very approachable.,Neutral
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Neutral
Very boring lectures and the assignments take too long.,Neutral
The class is okay. Attendance is mandatory which is annoying.,Neutral
Loved the way she broke down complex topics into simple ideas.,Neutral
Do not take this course unless you have no other option.,Positive
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Neutral
The exams are incredibly hard and the grading is unfair.,Negative
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Positive
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Positive
Loved the way she broke down complex topics into simple ideas.,Neutral
Do not take this course unless you have no other option.,Negative
Decent professor. Tests are straightforward if you study.,Neutral
Engaging and passionate teacher who genuinely cares about students.,Negative
Professor explains concepts really well and is very approachable.,Positive
The exams are incredibly hard and the grading is unfair.,Neutral
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Neutral
The class is okay. Attendance is mandatory which is annoying.,Negative
Loved the way she broke down complex topics into simple ideas.,Negative
Do not take this course unless you have no other option.,Negative
Decent professor. Tests are straightforward if you study.,Positive
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Positive
The exams are incredibly hard and the grading is unfair.,Negative
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Neutral
The class is okay. Attendance is mandatory which is annoying.,Positive
Loved the way she broke down complex topics into simple ideas.,Negative
Do not take this course unless you have no other option.,Neutral
Decent professor. Tests are straightforward if you study.,Positive
Engaging and passionate teacher who genuinely cares about students.,Positive
Professor explains concepts really well and is very approachable.,Positive
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Neutral
Best professor I have ever had. Highly recommend this class.,Neutral
Very boring lectures and the assignments take too long.,Negative
The class is okay. Attendance is mandatory which is annoying.,Neutral
Loved the way she broke down complex topics into simple ideas.,Neutral
Do not take this course unless you have no other option.,Positive
Decent professor. Tests are straightforward if you study.,Neutral
Engaging and passionate teacher who genuinely cares about students.,Negative
Professor explains concepts really well and is very approachable.,Neutral
The exams are incredibly hard and the grading is unfair.,Neutral
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Positive
Very boring lectures and the assignments take too long.,Positive
The class is okay. Attendance is mandatory which is annoying.,Negative
Loved the way she broke down complex topics into simple ideas.,Neutral
Do not take this course unless you have no other option.,Neutral
Decent professor. Tests are straightforward if you study.,Positive
Engaging and passionate teacher who genuinely cares about students.,Negative
Professor explains concepts really well and is very approachable.,Negative
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Positive
Best professor I have ever had. Highly recommend this class.,Negative
Very boring lectures and the assignments take too long.,Neutral
The class is okay. Attendance is mandatory which is annoying.,Positive
Loved the way she broke down complex topics into simple ideas.,Negative
Do not take this course unless you have no other option.,Neutral
Decent professor. Tests are straightforward if you study.,Negative
Engaging and passionate teacher who genuinely cares about students.,Neutral
Professor explains concepts really well and is very approachable.,Neutral
The exams are incredibly hard and the grading is unfair.,Positive
"Average course, nothing special but not terrible either.",Negative
